                     Force(x),                      Force(y),                      Force(z),                    Force(Net),                   Velocity(x),                   Velocity(y),                   Velocity(z),                 Velocity(Net),                   Position(x),                   Position(y),                   Position(z),                          Time,
        1.3102402489850044e-13          8.286832572324157e-10           1.31024025705263e-13          6.867159751519165e-19             45.000000593202714              45.00027277812426          5.932032783165829e-07              4050.024603493837             2117.1171419747698              2117.127082961509         2.4857677065877304e-05               94.0940940940941
        1.2065433071168094e-13          7.961891527130314e-10          1.206543313943415e-13            6.3391719601283e-19              45.00000079855063             45.000412917330344          7.985513757813415e-07               4050.03723459979              2162.162196783596             2162.1787912808036         3.4621466829156304e-05               95.0950950950951
        1.2065502157808888e-13          7.961901731341353e-10         1.2065502226075734e-13           6.33918820910633e-19              45.00000059332349               45.0002735751104          5.933240534230838e-07             4050.0246752338944              2162.162187613672             2162.1724014566216          2.545153458927053e-05               96.0960960960961
        1.1128475017719525e-13          7.655363154135634e-10         1.1128475075677797e-13          5.860458749855663e-19              45.00000079867141               45.0004137143175          7.986721515794004e-07             4050.0373063401626             2207.2072426280515              2207.224250055402          3.542087800401153e-05               97.0970970970971
         1.112853889459729e-13          7.655373028997411e-10         1.1128538952556232e-13          5.860473868998857e-19              45.00000059343489              45.00027434141302          5.934354495699875e-07             4050.0247442115756               2207.20723325269              2207.217720734161         2.6045508314492286e-05               98.0980980980981
         1.028018921941949e-13           7.36589816824088e-10         1.0280189268784372e-13          5.425645793854016e-19              45.00000079878281              45.00041448062111          7.987835483657122e-07              4050.037375318148              2252.252288472623             2252.2697096124284         3.6220405381361436e-05               99.0990990990991
        1.0280248363726479e-13          7.365907727822083e-10         1.0280248413091934e-13          5.425659876845923e-19               45.0000005935378              45.00027507874016          5.935383543674728e-07             4050.0248105806854             2252.2522788918154             2252.2630407642678          2.663958929744397e-05             100.10010010010011
         9.510755174088385e-14          7.092275128587668e-10          9.510755216263975e-14         5.0300368308672515e-19             45.000000798885715              45.00041521794921          7.988864537552327e-07             4050.0374416875507              2297.297334317302              2297.315169922023          3.702004001705761e-05             101.10110110110111
         9.510810012037529e-14          7.092284386309264e-10          9.510810054213611e-14          5.030049962539631e-19             45.000000593633004              45.00027578867761          5.936335571223903e-07              4050.024874484016               2297.29732453104              2297.308361518731          2.723376943332478e-05             102.10210210210211
         8.811590014974706e-14          6.833378012576089e-10           8.81159005111533e-14          4.669505661564071e-19              45.00000079898092              45.00041592788759          7.989816570590786e-07             4050.0375055911627               2342.34238016208             2342.3606309559755          3.781977380625396e-05             103.10310310310311
         8.811640928025005e-14          6.833386981231163e-10          8.811640964166051e-14          4.669517918815986e-19              45.00000059372121              45.00027647269943          5.937217612270061e-07              4050.024936054296             2342.3423701703564              2342.353682970872         2.7828041364430587e-05             104.10410410410411
         8.175174639660342e-14          6.588185688318834e-10          8.175174670718458e-14          4.340419200043873e-19              45.00000079906913              45.00041661191031          7.990698616733345e-07              4050.037567161716               2387.38742600695              2387.406092687606          3.861959939120512e-05             105.10510510510511
         8.175221969819205e-14           6.58819438009464e-10           8.17522200087768e-14          4.340430652659569e-19             45.000000593803044              45.00027713217748          5.938035948072936e-07               4050.02499541505              2387.387415809758              2387.399005095435          2.842239839948279e-05             106.10610610610611
         7.594906640301154e-14           6.35576256877653e-10           7.59490666706542e-14         4.0395718984312973e-19              45.00000079915096             45.000417271389225          7.991516957273973e-07              4050.037626522733              2432.432471851905               2432.45155509166          3.941951008059487e-05             107.10710710710711
         7.594950694760842e-14          6.355770995277901e-10           7.59495072152542e-14         4.0395826098081365e-19              45.00000059387907              45.00027776838995           5.93879619899056e-07             4050.0250526813684             2432.4324614492384             2432.4443278684917          2.901683444287936e-05             108.10810810810811
         7.064975559396525e-14          6.135250301758407e-10          7.064975582522205e-14         3.7641297263504227e-19              45.00000079922699              45.00041790760254          7.992277212601453e-07             4050.0376837893054             2477.4775176969392              2477.497018144208          4.021949977878683e-05             109.10910910910911
          7.06501661455636e-14          6.135258474031995e-10          7.065016637682309e-14         3.7641397541470604e-19              45.00000059394979              45.00027838252912          5.939503403753576e-07             4050.0251079605996              2477.477507088792               2477.48965126735         2.9611343932506195e-05             110.11011011011011
         6.580256796660536e-14          5.925860369394604e-10          6.580256816693848e-14          3.511582198355715e-19              45.00000079929771             45.000418521742525          7.992984421474093e-07             4050.0377390687827             2522.5225635420466             2522.5424818225592          4.101956292363546e-05             111.11111111111111
         6.580295101638636e-14          5.925868297953399e-10          6.580295121672183e-14         3.5115915950694785e-19              45.00000059401566              45.00027897570833          5.940162088119611e-07             4050.0251613529877             2522.5225527284147              2522.534975270472           3.02059217849523e-05             112.11211211211213
         6.136221141179937e-14          5.726867487361538e-10          6.136221158577652e-14          3.279701197086285e-19             45.000000799363576             45.000419114922536          7.993643109674461e-07             4050.0377924614086             2567.5676093872225             2567.5879461051745          4.181969443170095e-05             113.11311311311313
